,temp,date
0,14.1,2023-01-01
1,12.7,2023-01-02
2,7.1,2023-01-03
3,8.2,2023-01-04
4,11.6,2023-01-05
5,10.8,2023-01-06
6,10.1,2023-01-07
7,9.2,2023-01-08
8,7.9,2023-01-09
9,6.7,2023-01-10
10,9.2,2023-01-11
11,9.8,2023-01-12
12,9.9,2023-01-13
13,8.4,2023-01-14
14,7.2,2023-01-15
15,5.4,2023-01-16
16,3.4,2023-01-17
17,0.9,2023-01-18
18,0.4,2023-01-19
19,0.6,2023-01-20
20,-0.7,2023-01-21
21,1.2,2023-01-22
22,1.8,2023-01-23
23,2.7,2023-01-24
24,1.7,2023-01-25
25,-0.1,2023-01-26
26,2.0,2023-01-27
27,2.2,2023-01-28
28,-0.3,2023-01-29
29,2.6,2023-01-30
